2025-05-19 13:31:18,176 - INFO - [EstoquePage.__init__] Iniciando EstoquePage... [_log | meu_logger]
2025-05-19 13:31:18,192 - INFO - [EstoqueModel.__init__] EstoqueModel inicializado. [_log | meu_logger]
2025-05-19 13:31:18,194 - INFO - [RodapePaginacao.__init__] RodapePaginacao inicializado. [_log | meu_logger]
2025-05-19 13:31:18,194 - DEBUG - [RodapePaginacao.__init__] Total de páginas definido: None [_log | meu_logger]
2025-05-19 13:31:18,194 - INFO - [EstoquePageView.__init__] EstoquePageView inicializado. [_log | meu_logger]
2025-05-19 13:31:18,195 - INFO - [EstoquePageController.__init__] EstoquePageController inicializado. [_log | meu_logger]
2025-05-19 13:31:18,198 - INFO - [EstoquePage.__init__] EstoquePageController criado com sucesso. [_log | meu_logger]
2025-05-19 13:31:18,199 - DEBUG - [EstoquePage.start] Método start() chamado. Exibindo view do estoque. [_log | meu_logger]
2025-05-19 13:31:18,200 - DEBUG - [EstoquePageController.exibir_view_estoque] Chamando view_estoque() da view. [_log | meu_logger]
2025-05-19 13:31:18,200 - DEBUG - [EstoquePageController.carregar_dados_estoque] Buscando dados de produtos no model. [_log | meu_logger]
2025-05-19 13:31:18,200 - DEBUG - [EstoquePageController.listar_produtos_paginados] Chamando listar_produtos() com: Página=1, Quantidade=20, OrdenarPor=None [_log | meu_logger]
2025-05-19 13:31:18,201 - DEBUG - [EstoqueModel.get_pagina] 

Iniciando a função get_pagina com parâmetros - tabela: produtos, página: 1, por_pagina: 20, ordenar_por: None [_log | meu_logger]
2025-05-19 13:31:18,201 - DEBUG - [EstoqueModel.get_pagina] Calculando o offset: 0 (para página 1 com 20 itens por página) [_log | meu_logger]
2025-05-19 13:31:18,201 - DEBUG - [EstoqueModel.get_pagina] Query gerada para busca de dados: SELECT * FROM produtos LIMIT %s OFFSET %s [_log | meu_logger]
2025-05-19 13:31:18,726 - DEBUG - [EstoqueModel.get_pagina] Consulta executada com sucesso. Resultados obtidos: 20 registros. [_log | meu_logger]
2025-05-19 13:31:18,740 - DEBUG - [EstoqueModel.get_pagina] Registro encontrado total_result : [{'total': 21}] [_log | meu_logger]
2025-05-19 13:31:18,740 - DEBUG - [EstoqueModel.get_pagina] Registro encontrado total_registros: 21 [_log | meu_logger]
2025-05-19 13:31:18,741 - DEBUG - [EstoqueModel.get_colunas_produto] Buscando colunas da tabela 'produto'. [_log | meu_logger]
2025-05-19 13:31:19,408 - DEBUG - [EstoqueModel.get_colunas_produto] Colunas encontradas: ['id', 'nome', 'descricao', 'preco', 'quantidade', 'tipo'] [_log | meu_logger]
2025-05-19 13:31:19,408 - DEBUG - [EstoqueModel.get_pagina] Calculando o total de páginas: 2 (total de 21 registros com 20 por página) [_log | meu_logger]
2025-05-19 13:31:19,409 - DEBUG - [EstoqueModel.get_pagina] Retornando os dados paginados: {'dados': [{'id': 4, 'nome': 'Pod 77', 'descricao': 'texto', 'preco': Decimal('778.00'), 'quantidade': 4, 'tipo': 'unidade'}, {'id': 5, 'nome': 'Prod_88', 'descricao': 'Descrição Nova', 'preco': Decimal('77.00'), 'quantidade': 44, 'tipo': 'kg'}, {'id': 6, 'nome': 'Prod_77', 'descricao': 'l', 'preco': Decimal('85.00'), 'quantidade': 88, 'tipo': 'litro'}, {'id': 8, 'nome': 'kkk', 'descricao': 'kkkk', 'preco': Decimal('99.00'), 'quantidade': 555, 'tipo': 'caixa'}, {'id': 9, 'nome': 'A', 'descricao': 'A', 'preco': Decimal('1.00'), 'quantidade': 14, 'tipo': 'unidade'}, {'id': 10, 'nome': 'p1', 'descricao': 'p1', 'preco': Decimal('0.00'), 'quantidade': 1, 'tipo': 'unidade'}, {'id': 11, 'nome': 'phujkfv', 'descricao': 'uku', 'preco': Decimal('33.00'), 'quantidade': 33, 'tipo': 'kg'}, {'id': 12, 'nome': 'fdfdf', 'descricao': 'dfsfs', 'preco': Decimal('5215.00'), 'quantidade': 515, 'tipo': 'unidade'}, {'id': 13, 'nome': 'dfsdf', 'descricao': 'sfsdf', 'preco': Decimal('515.00'), 'quantidade': 22, 'tipo': 'unidade'}, {'id': 15, 'nome': 'tttt', 'descricao': 'trtr', 'preco': Decimal('55.00'), 'quantidade': 55, 'tipo': 'unidade'}, {'id': 16, 'nome': 'Teste', 'descricao': '77', 'preco': Decimal('58.00'), 'quantidade': 77, 'tipo': 'litro'}, {'id': 17, 'nome': 'Maste', 'descricao': 'dsd', 'preco': Decimal('44.00'), 'quantidade': 44, 'tipo': 'litro'}, {'id': 18, 'nome': '2', 'descricao': '22', 'preco': Decimal('525.00'), 'quantidade': 55, 'tipo': 'kg'}, {'id': 19, 'nome': 'Tes_ide', 'descricao': '2121ff', 'preco': Decimal('8547.00'), 'quantidade': 223, 'tipo': 'unidade'}, {'id': 20, 'nome': 'Tes_ide', 'descricao': '2121ff', 'preco': Decimal('8547.00'), 'quantidade': 223, 'tipo': 'unidade'}, {'id': 21, 'nome': 'Tes_ide', 'descricao': '2121ff', 'preco': Decimal('8547.00'), 'quantidade': 223, 'tipo': 'unidade'}, {'id': 22, 'nome': 'Bolo de Chocolate', 'descricao': None, 'preco': Decimal('50.00'), 'quantidade': 1, 'tipo': 'unidade'}, {'id': 23, 'nome': 'Bolo de Morango', 'descricao': None, 'preco': Decimal('45.00'), 'quantidade': 1, 'tipo': 'unidade'}, {'id': 24, 'nome': 'Cupcake', 'descricao': None, 'preco': Decimal('5.00'), 'quantidade': 12, 'tipo': 'unidade'}, {'id': 25, 'nome': 'Torta de Maçã', 'descricao': None, 'preco': Decimal('40.00'), 'quantidade': 1, 'tipo': 'unidade'}], 'colunas': ['id', 'nome', 'descricao', 'preco', 'quantidade', 'tipo'], 'pagina_atual': 1, 'por_pagina': 20, 'total_registros': 21, 'total_paginas': 2, 'pagina_anterior': None, 'proxima_pagina': 2} [_log | meu_logger]
2025-05-19 13:31:19,409 - DEBUG - [EstoquePageController.carregar_dados_estoque] 6 colunas retornadas do model. [_log | meu_logger]
